user,Isolation Forest_Prediction,Isolation Forest_Score,One-Class SVM_Prediction,One-Class SVM_Score,LOF_Prediction,LOF_Score,Elliptic Envelope_Prediction,Elliptic Envelope_Score,PCA_Prediction,PCA_Score,DBSCAN_Prediction,DBSCAN_Score,KMeans_Prediction,KMeans_Score,Suspicious_Count,Consensus_Percentage
AJF0370,Suspicious,0.717708366939492,Suspicious,-1.051679118500412,Suspicious,1.9652794514093952,Suspicious,1077388.9118416244,Suspicious,0.5491223609326235,Suspicious,1.0,Suspicious,14.053861469970808,7,100.0
BAL0044,Suspicious,0.6551402382026843,Suspicious,-1.1045510266618919,Suspicious,1.5265388723881057,Suspicious,946014.3368737698,Suspicious,0.64308038096192,Suspicious,1.0,Suspicious,7.419178914629794,7,100.0
EIS0041,Suspicious,0.6585188447771002,Suspicious,-1.1043058080783628,Suspicious,1.5842223087120613,Suspicious,930742.1143406116,Suspicious,0.7377567629735041,Suspicious,1.0,Suspicious,7.931346785207256,7,100.0
IBB0359,Suspicious,0.6647537166035111,Normal,-1.1048487157253775,Suspicious,1.6765255413165157,Suspicious,916148.4654735411,Suspicious,0.9585344510486834,Suspicious,1.0,Suspicious,8.76318741684537,6,85.71428571428571
HDS0367,Suspicious,0.6511162092869529,Normal,-1.1047126702666035,Suspicious,1.5946866837352247,Suspicious,953323.508642842,Suspicious,0.7592613935357782,Suspicious,1.0,Suspicious,7.949061754443376,6,85.71428571428571
BRM0995,Normal,0.5701065639199541,Suspicious,-1.104436548052518,Suspicious,1.6268089842933182,Normal,59802.76849090146,Suspicious,0.5862555270528912,Suspicious,1.0,Suspicious,6.965573174082166,5,71.42857142857143
HRL0540,Normal,0.5790635689426624,Suspicious,-1.1043186908497054,Suspicious,1.7289882635697953,Normal,46279.92074152066,Suspicious,0.48391842923611483,Suspicious,1.0,Suspicious,7.35787452049257,5,71.42857142857143
OBH0499,Suspicious,0.598447373931105,Suspicious,-1.104582107872275,Normal,1.3129898861545282,Normal,148776.31054820406,Suspicious,0.9682145399853369,Suspicious,1.0,Suspicious,9.695223617178137,5,71.42857142857143
DLM0051,Suspicious,0.6723132499644066,Normal,-1.1046849066182516,Suspicious,1.4801951984254575,Normal,125509.45829458795,Normal,0.031736684645913754,Suspicious,1.0,Suspicious,9.519216010842147,4,57.14285714285714
LBF0214,Suspicious,0.5866979966876517,Suspicious,-1.104392808918418,Normal,1.22943644609125,Normal,63469.05941578143,Normal,0.03415679820652378,Suspicious,1.0,Suspicious,8.48499659220215,4,57.14285714285714
