user,total_events,total_logons,total_logoffs,after_hours_events,weekend_events,unique_pcs_x,working_days,avg_events_per_day,first_login_hour,last_logout_hour,work_duration_hours,total_device_events,total_connects,total_disconnects,after_hours_device_events,weekend_device_events,total_email_events,total_email_sent,after_hours_email_count,weekend_email_count,attachment_email_count,average_email_size_kb,average_recipient_count,total_file_events,file_open_count,file_copy_count,file_write_count,file_delete_count,files_to_removable_media,files_from_removable_media,unique_files,unique_pcs_y,after_hours_file_activity,weekend_file_count,total_http_events,http_visit_count,http_download_count,http_upload_count,after_hours_http_count,weekend_http_count,unique_urls,unique_http_pcs,O,C,E,A,N
RRH3057,397.95390580435947,0.0,0.0,0.0,0.0,0.0,0.0,0.8774693291176211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.0010586249176,0.0,0.0,0.0,0.0,163.60378934336612,87.8589775045418,0.0,715.8644391047651,264.8913349533884,0.0,0.0,0.0,0.0,0.0,318.5168609319317,0.0,0.0,0.0,0.0,0.0,699.8759052820837,0.0,0.0,467.9946286179908,913.9405032893106,0.0,0.0,3.150543025955709,0.0,1.2459868193340484,0.0
SEM1862,0.0,0.0,25.96680936782053,0.0,0.0,0.0,0.0,0.911554022510898,0.4011523689421246,0.0,0.0,0.0,239.87015445505395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.02333764660041,0.0,0.0,11.102481011441162,0.0,29.507387204225104,0.0,0.0,45.64890023484092,0.0,0.0,5377.971230824906,7306.79748599522,0.0,0.0,285.1365758057411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GEH3406,0.0,0.0,172.0662739222212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0080631519329799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,598.9941754393832,30.776230959253567,0.0,0.0,0.0,65.85199334852351,678.9528788030743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5341641861854605,0.0
CCD3168,270.2186203721976,100.08465441425642,0.0,0.0,29.89119526561846,0.0,0.0,0.0,0.5893992231155003,0.0,1.4416339386680364,459.9136097427943,0.0,210.28476437467447,140.1158737218371,0.0,0.0,0.0,0.0,48.76053719557888,0.0,0.0,0.1644653472769159,0.0,0.0,0.0,0.0,0.0,492.8647458083425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.258304780069487,795.7722128294267,0.0,0.0,0.00493493825729,0.0,0.0,4.9118261686428335,0.0,0.0
RNM0466,0.0,0.0,0.0,0.9654355681541048,6.0668382688656575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.39337167950736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.32577572545122,128.7155003506553,0.0,0.0,0.0,510.27607612042885,0.0,0.0,27.299440044808936,75.71267470561455,205.43223349617367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0943477805674281,0.0,0.0,0.0,0.0,3.128219405424533
SBT2281,198.11253299776484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6956926193520125,0.720504865711322,0.0,819.4324837598932,23.215825253968152,0.0,66.45621599336516,0.0,0.0,3.734269708870089,0.0,0.0,0.0,0.0,0.0892102684472027,0.0,0.0,0.0,55.61476562442091,0.0,0.0,0.0,0.0,13.721076111360269,0.0,0.0,0.0,0.0,0.0,0.0,1327.3464430688543,0.0,0.0,0.0756337417712649,0.0,1.142918099753525,0.0,4.920828282978452,0.0
BEH0103,0.0,0.0,0.0,0.0,0.0,61.67415390878124,0.0,0.0,0.0527806104004332,0.9184398946466004,0.0,0.0,0.0,0.0,0.0,99.50379313324696,0.0,0.0,127.86095842571768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.980736325087086,0.0,0.0,0.0,0.0,0.0,33.60981465869836,0.0,0.0,0.0,120.60608307698638,0.0,0.0,0.0,0.0,0.0,2.0468811789239267,0.0,0.0,2.336011872875284
KCW3064,0.0,0.0,0.0,82.77059660586023,0.0,0.0,0.0,0.0,0.8243878650398451,0.0,0.0,0.0,318.6419930157252,0.0,0.0,0.0,0.0,152.97735185819425,0.0,115.13291836012404,97.63847165223852,0.0,0.0,0.0,0.0,0.0,233.25106239335017,0.0,0.0,0.0,0.0,0.0,0.0,231.10930960002983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BYS3626,18.30708271341493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0977889123905191,0.0,1.0212177674993252,595.9965001938427,0.0,0.0,0.0,45.104301787019935,0.0,420.9317894673097,0.0,0.0,12.303155341444707,0.0,0.132414361261448,0.0,231.106089205525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.966080985511324,0.2251041319914332,2.535557152234284,0.0
VNC1607,0.0,0.0,0.0,0.0,0.0,28.16456714285222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.9304643060723,96.83591331405049,57.06279329207832,0.0,0.0,53.58877744359358,0.0,96.41242302949,0.0,0.0,623.2541829870942,0.0,0.0,3047.736624808665,0.0,0.0,0.0,0.0,0.0,0.0,0.5184203242824575
BDV2474,21.88564568237616,0.0,0.0,0.0,0.0,11.809652030830762,0.0,0.0,0.7580835836016094,1.2049353889500671,0.0,741.168772771837,0.0,0.0,0.0,50.825809552002895,0.0,0.0,0.0,0.0,0.0,0.0,0.0234475494919826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,406.70743379674326,0.0,0.0,0.0,11708.64497833134,0.0,0.0,0.0,0.0,407.04503170044165,0.0,0.0,0.0,0.0,0.7245447046192133,0.0,0.0
MQR1657,346.346712573805,222.0989724748239,3.613213818256311,0.0,67.32344200192988,0.0,0.0,0.8636452200864594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,772.8761470238464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.38194940668404,0.0,264.8068541957491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6285.68488579385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.024502776291355,0.0
