File Name,Relative Path,Rows,Columns,Column Names,File Size (MB),Modified,Has User Column,Has Date Column,Has PC Column
device.csv,device.csv,405380,5,"id, date, user, pc, activity",27.64,2026-07-02 22:39:53,True,True,True
email.csv,email.csv,2629979,11,"id, date, user, pc, to, cc, bcc, from, size, attachments, content",1299.0,2026-07-02 22:40:19,True,True,True
file.csv,file.csv,445581,6,"id, date, user, pc, filename, content",184.11,2026-07-02 22:40:22,True,True,True
http.csv,http.csv,28434423,6,"id, date, user, pc, url, content",13862.86,2026-07-02 22:46:21,True,True,True
2009-12.csv,LDAP\2009-12.csv,1000,9,"employee_name, user_id, email, role, business_unit, functional_unit, department, team, supervisor",0.14,2026-07-02 22:46:22,False,False,False
2010-01.csv,LDAP\2010-01.csv,1000,9,"employee_name, user_id, email, role, business_unit, functional_unit, department, team, supervisor",0.14,2026-07-02 22:46:22,False,False,False
2010-02.csv,LDAP\2010-02.csv,989,9,"employee_name, user_id, email, role, business_unit, functional_unit, department, team, supervisor",0.14,2026-07-02 22:46:22,False,False,False
2010-03.csv,LDAP\2010-03.csv,982,9,"employee_name, user_id, email, role, business_unit, functional_unit, department, team, supervisor",0.14,2026-07-02 22:46:22,False,False,False
2010-04.csv,LDAP\2010-04.csv,980,9,"employee_name, user_id, email, role, business_unit, functional_unit, department, team, supervisor",0.14,2026-07-02 22:46:22,False,False,False
2010-05.csv,LDAP\2010-05.csv,974,9,"employee_name, user_id, email, role, business_unit, functional_unit, department, team, supervisor",0.14,2026-07-02 22:46:22,False,False,False
2010-06.csv,LDAP\2010-06.csv,968,9,"employee_name, user_id, email, role, business_unit, functional_unit, department, team, supervisor",0.14,2026-07-02 22:46:22,False,False,False
2010-07.csv,LDAP\2010-07.csv,961,9,"employee_name, user_id, email, role, business_unit, functional_unit, department, team, supervisor",0.14,2026-07-02 22:46:22,False,False,False
2010-08.csv,LDAP\2010-08.csv,947,9,"employee_name, user_id, email, role, business_unit, functional_unit, department, team, supervisor",0.14,2026-07-02 22:46:22,False,False,False
2010-09.csv,LDAP\2010-09.csv,934,9,"employee_name, user_id, email, role, business_unit, functional_unit, department, team, supervisor",0.13,2026-07-02 22:46:22,False,False,False
2010-10.csv,LDAP\2010-10.csv,918,9,"employee_name, user_id, email, role, business_unit, functional_unit, department, team, supervisor",0.13,2026-07-02 22:46:22,False,False,False
2010-11.csv,LDAP\2010-11.csv,906,9,"employee_name, user_id, email, role, business_unit, functional_unit, department, team, supervisor",0.13,2026-07-02 22:46:22,False,False,False
2010-12.csv,LDAP\2010-12.csv,890,9,"employee_name, user_id, email, role, business_unit, functional_unit, department, team, supervisor",0.13,2026-07-02 22:46:23,False,False,False
2011-01.csv,LDAP\2011-01.csv,878,9,"employee_name, user_id, email, role, business_unit, functional_unit, department, team, supervisor",0.13,2026-07-02 22:46:23,False,False,False
2011-02.csv,LDAP\2011-02.csv,868,9,"employee_name, user_id, email, role, business_unit, functional_unit, department, team, supervisor",0.12,2026-07-02 22:46:23,False,False,False
2011-03.csv,LDAP\2011-03.csv,857,9,"employee_name, user_id, email, role, business_unit, functional_unit, department, team, supervisor",0.12,2026-07-02 22:46:23,False,False,False
2011-04.csv,LDAP\2011-04.csv,846,9,"employee_name, user_id, email, role, business_unit, functional_unit, department, team, supervisor",0.12,2026-07-02 22:46:23,False,False,False
2011-05.csv,LDAP\2011-05.csv,845,9,"employee_name, user_id, email, role, business_unit, functional_unit, department, team, supervisor",0.12,2026-07-02 22:46:23,False,False,False
logon.csv,logon.csv,854859,5,"id, date, user, pc, activity",55.8,2026-07-02 22:46:22,True,True,True
psychometric.csv,psychometric.csv,1000,7,"employee_name, user_id, O, C, E, A, N",0.04,2026-07-02 22:46:22,False,False,False
